Model,Dataset,CV_Mean,CV_Std
LR,Raw (Thô),0.7823,0.0592
LR,MinMax Scaled,0.773,0.0558
LR,Standard Scaled,0.7805,0.0624
LDA,Raw (Thô),0.7749,0.0671
LDA,MinMax Scaled,0.7749,0.0671
LDA,Standard Scaled,0.7749,0.0671
KNN,Raw (Thô),0.7189,0.0474
KNN,MinMax Scaled,0.7635,0.0576
KNN,Standard Scaled,0.7283,0.0492
DT,Raw (Thô),0.6817,0.0587
DT,MinMax Scaled,0.6798,0.0612
DT,Standard Scaled,0.6835,0.0568
GNB,Raw (Thô),0.7599,0.0634
GNB,MinMax Scaled,0.7599,0.0634
GNB,Standard Scaled,0.7599,0.0634
SVM,Raw (Thô),0.7563,0.0631
SVM,MinMax Scaled,0.7636,0.0433
SVM,Standard Scaled,0.7693,0.039
